Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,7.9417151355445,8.0636991592937,7.8333708050759,7.6965099520243,6.7626078517124,6.8690016385565,6.1275205101728,5.7161979772269,5.7140431518029,5.1236310554996,4.9029451152141,5.0596248445635,5.3491173356997,4.979298313217,4.5471488096077,4.667744321624
Austria,10.78283240445,9.3643016968285,8.8438774563264,8.342404138412,8.1728562712348,7.5944783703137,6.6094779194944,6.2446538360323,6.315323007364,5.3834303928366,5.0541938878105,5.5795472203255,4.9652484331021,4.7190968970798,4.6359966208232,4.6959088587305
Belgium,11.176923289274,10.827264257621,10.521927563854,10.33583528571,9.1873283118022,8.8904760310534,7.8413971340155,8.0358975543055,7.4539087955222,6.8448710324162,6.6631845192311,6.7810040050639,5.9233760909732,5.3648224626966,5.2989014692959,5.6392032521617
Canada,8.5634656442525,8.9881746884317,8.8147236280187,8.3708526727497,7.3122077805199,6.5896347483811,6.5813320604327,5.8906122334884,5.9708573817408,5.5498222563461,5.1800177144788,5.2725968876662,5.2373992559087,5.0570191166494,5.1854600563364,
Chile,14.273511094374,13.077381227809,13.151956344322,12.95981204092,13.873197061183,11.571945752089,12.109317300675,11.850340175494,11.37184437065,11.978254598001,11.874928938427,11.862444295522,11.972371855493,10.476807966423,10.537823563738,10.535844620162
Colombia,,,,,,12.525892179681,11.375789823043,11.954072324895,12.636595119489,13.176690377423,13.339827144962,14.179496240981,14.685818664541,13.629094558467,,
Czech Republic,13.555203172585,12.609258588342,10.397535031037,11.898940410067,10.402746789215,8.6420367659676,7.6657737920002,7.3712198777674,7.0630039945952,6.2190207895018,6.5446402012705,6.9745760098308,5.7893603306397,5.454294524342,6.2016643646051,5.7935360288456
Denmark,6.8363210588331,6.1167109096436,5.6379974496353,7.4535292644652,7.4144539117727,5.4976448125911,4.6072641559546,3.9563876598111,2.9925548103437,3.4091144370106,3.234270472088,3.1450346881424,3.6970513474876,3.04412996939,2.9578685357167,3.427440988164
Finland,7.1842768939095,7.2375053254863,6.3932049364675,7.2011226171154,6.4899733684697,5.2381440523409,5.0827564311351,5.4322791983147,4.7211145088736,4.754293329579,4.2008559473297,4.9344332611505,4.7017590410453,4.3245741929763,4.3351054664047,3.7876598043574
France,9.2437998241513,8.7232862072477,7.6694144582029,7.4763042420842,6.8801950904666,6.8389522321759,6.3602088003016,6.2834602582792,5.7640142507639,5.1304702284763,5.2851911972579,5.3825129231243,5.3933071989312,5.33594014437,5.0181496957314,5.005241926301
