,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
13,Australia,2.3695451397,2.4151398541,2.36369537,2.4466346392,2.6482427971,2.9522929615,3.4513829037,3.7937639672,3.8372735846,3.38591988,2.9660355768,2.7631517089,2.6856206049,2.3793467959,2.2628026995,2.2673155925,2.2166121068,2.2472022083,2.2156885699,2.192729371,2.248956904,2.2966019447,2.3932652161,2.5198118192,2.5052336507,2.5232683787,2.5404297516,2.3729888324,2.1618148827,2.0518275095,2.0759058597,2.1680428583,2.1687460801,2.1780298865,2.1165985889,2.021312568,1.9304400674,1.867334395,1.8711218131,1.8892357407,1.8298419125,1.8700938789,1.8739646206,1.8462896887,1.8274107694,1.8024926796,1.822330926,1.8153422449,1.7985471716,1.926908956,1.8567913624,1.757078228,1.6710157955,1.6397205812,1.7722338567,1.9510278626,2.0836892248,1.9975772665,1.890622246,1.8797432665,2.0630427773
14,Austria,1.4581856995,1.309337523,1.352071859,1.5796677584,1.8873002426,1.5072133874,1.6244051316,1.6091664157,1.5426747491,1.4992565672,1.3801301213,1.2461069539,1.2022866646,1.184988573,1.2768825194,1.4512783637,1.3651968108,1.3459518906,1.4292126119,1.4338457317,1.4202461061,1.3800517335,1.4129967302,1.3911758842,1.4141583362,1.5126235665,1.5087585415,1.4166779027,1.2991811442,1.2341549253,1.1956602667,1.1542171185,1.0992140716,1.1155845413,1.0944530762,1.0732320521,1.0496829774,1.0464339819,1.018072863,0.9802461234,0.9803185801,0.9082400407,0.8835278366,0.9136403188,0.8934804662,0.850142574,0.7858132445,0.9004571728,0.8707051231,0.8333795647,0.8212327115,0.7908975585,0.7784642506,0.7508253831,0.7477800954,0.6981381521,0.7297376918,0.7573212914,0.7448582941,0.7274094104,0.8366138742
17,Belgium,3.3973478671,3.2590700738,3.284752167,3.2166309633,3.2134716593,2.9730636021,3.1125860286,3.1345816242,3.1150900113,2.9318149965,2.9186400967,2.8989259189,2.8807600413,2.8353111328,2.761416188,3.0650345394,3.0933695342,3.1432486471,3.2615220612,3.2613450175,3.2501953855,3.3660494361,3.2699445914,3.1914131705,3.0079024492,2.9312338541,2.953772624,2.9017947926,2.6287484162,2.4608543236,2.3554404589,2.2876928471,1.8323325301,1.7359658934,1.6771431501,1.5657521514,1.5401026514,1.4769757959,1.4639192651,1.3858355592,1.3412102764,1.2765041665,1.2157122078,1.2149881562,1.1492721388,1.0915600576,1.0512391857,1.0945353012,1.2138983167,1.1600399219,1.0846328614,1.0435067948,1.04175649,1.0089594787,0.9709597911,0.9092842021,0.8947062362,0.883680595,0.8906444863,0.8930429504,1.0808422565
29,Brazil,2.6791347259,2.3640661939,2.3986833074,2.2608391824,2.0144980909,3.3520921567,3.0219816316,2.8569720083,2.6497401584,2.6155900063,2.8872895569,2.6190468586,2.4358119902,2.1546513065,1.9413534112,1.9721437963,2.0027533651,1.687726478,1.5996715503,1.5219316861,1.1384344207,1.1431487682,1.3035343611,1.254580323,1.1995410452,1.4295231222,1.2203887275,1.7439940315,2.118072205,2.68625,2.3638410252,1.9633333333,1.5215288612,1.927922815,2.0160077891,1.8621369803,1.6548434995,1.5776883155,1.6622919198,1.6454746666,1.7307261471,1.9518824453,1.8957711992,1.5034776355,1.4612684089,1.5240133925,1.4810848949,1.4662920999,1.4419240934,1.5386256966,1.5394069811,1.4118511592,1.3786564647,1.3294460841,1.3302444232,1.365517154,1.347975413,1.4144856115,1.4942033526,1.4079885159,1.4391682256
35,Canada,4.1852565403,4.1283122435,3.9992163887,3.6206501115,3.4020628366,2.9302606594,2.6832824215,2.7479267698,2.5436418804,2.2737846704,2.1889796959,2.1314856394,2.0118184382,1.8326018177,1.7838130851,1.8635418527,1.7659279778,1.8057636001,1.8488874006,1.7112459179,1.7644486148,1.7099156382,1.9543435854,2.0811962488,2.1171888554,2.0973762338,2.1091971179,2.062576371,1.9867671189,1.9346143087,1.9587937422,1.8954443386,1.8616876999,1.8217535039,1.6966802573,1.5540900711,1.4037525811,1.2462432015,1.2562939016,1.2417030641,1.1180808796,1.1373689725,1.1208522916,1.1158787985,1.1079660271,1.1106696551,1.125832408,1.1889017827,1.2486213816,1.3775556311,1.1943383384,1.1932918955,1.1184045981,1.0023672005,0.9899252994,1.1527093745,1.1641615672,1.3516022319,1.3246810945,1.2789414196,1.4150558408
37,Switzerland,2.3414503613,2.4690770695,2.5675675676,2.5163366819,2.5358556973,2.4679592507,2.5307933593,2.3823738451,2.1765175719,2.1979237054,2.103347488,2.0525268217,1.9681261246,1.8614485622,1.8759744862,1.900752738,2.1625810087,2.0220865629,1.9673644305,2.039799426,1.6786065459,1.6628022214,1.7281945113,1.7488055893,1.701248303,1.8249718683,1.6610219514,1.5618660554,1.5648052643,1.5241653668,1.5721471876,1.5378248855,1.5237092724,1.3669643452,1.332284094,1.3558108825,1.2843357607,1.2209463115,1.1843200329,1.0854016124,1.0292808529,0.9918803619,0.9563888392,0.9266311781,0.8889242527,0.8526233052,0.7725495059,0.7344364055,0.7186377404,0.726566529,0.6820002959,0.6888643009,0.6635021967,0.7061240774,0.6281042877,0.6438908508,0.6573870112,0.656917773,0.6325615313,0.6992507329,0.7785206391
39,Chile,3.1184056272,3.527447297,3.043709078,2.865395725,2.6351865956,2.885712733,2.7359208524,2.7136326339,2.527068178,2.2608999869,4.4504506335,6.2648154419,6.625414195,6.2838209007,7.109561164,6.7425366608,6.0850508253,6.9152448136,6.7281223205,6.3325563326,6.4820928697,7.022118889,8.8772677384,7.5752226024,7.6054061762,6.9006086111,6.2880021993,5.6380710749,4.1399960797,3.590029509,3.4016548591,2.8498427673,2.6285104694,2.7069229373,2.5975449826,2.5620646292,2.4493208985,2.4982019239,2.5898372262,2.7136315935,2.7032820464,2.6674951732,2.552093091,2.7338432122,2.7079751356,2.5215028767,2.4908317799,2.3188022023,2.5840104832,2.2636078889,2.2394683104,2.2543956562,2.0462904073,1.9864194735,1.958526713,1.898487266,1.9153887199,1.9358292998,1.8596386184,1.8373818411,1.8539074072
45,Colombia,1.8843234755,2.1432563032,3.0994152047,3.5151403759,3.1808035714,3.1909469217,3.165244797,3.1173645631,2.3853724811,2.0549241571,2.2595465843,3.3741740971,1.967195823,1.6902451061,1.5757801352,1.7402680753,1.4936028707,1.4384872142,1.5503194098,1.6739287697,1.8301216493,1.7551203619,1.713850959,2.2199375274,2.3258949639,2.0540166093,1.9446195912,1.9831354164,2.1992447555,2.1881838074,1.8601592995,1.8534817832,2.1066779426,2.5252670183,2.5084070135,2.8316265806,4.445393254,2.8017878858,3.440985742,3.7627420579,3.0316835387,3.3238728188,3.4171276236,3.4639886908,3.4650151741,3.3528733875,3.2761306389,3.266739663,3.7446064367,3.8853538679,3.6427556022,3.0816136418,3.1589602351,3.2744010042,3.1082588481,3.1099600841,3.0711310261,3.2090624368,3.0621055114,3.1407339637,3.3757635191
48,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3304040663,2.2834008576,1.843622773,1.7319046876,1.6620457907,1.8259318204,1.8590699232,1.8773569562,1.7512495576,1.8244069683,1.8927640442,1.713703173,1.7900837721,1.575906158,1.4309147352,1.2324715672,1.3105641425,1.1947721814,1.077836499,1.0632168166,1.0150837197,0.9662278181,0.9465820956,0.9961281026,0.9566554217,1.0888509505,1.1608776155,1.3548450425
